pickup,delivery,distance,equipment,weight,date,predicted_rate,pickup_encoded,delivery_encoded,day_of_year
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,930.8281593674449,33,21,335
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,931.2783205262779,33,21,336
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,931.7284816851109,33,21,337
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,932.1786428439443,33,21,338
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,932.6288040027773,33,21,339
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,933.0789651616108,33,21,340
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,933.5291263204438,33,21,341
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,933.9792874792768,33,21,342
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,934.4294486381102,33,21,343
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,934.8796097969432,33,21,344
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,935.3297709557767,33,21,345
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,935.7799321146097,33,21,346
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,936.2300932734427,33,21,347
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,936.6802544322761,33,21,348
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,937.1304155911091,33,21,349
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,937.5805767499421,33,21,350
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,938.0307379087756,33,21,351
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,938.4808990676086,33,21,352
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,938.931060226442,33,21,353
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,939.381221385275,33,21,354
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,939.831382544108,33,21,355
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,940.2815437029415,33,21,356
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,940.7317048617745,33,21,357
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,941.1818660206075,33,21,358
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,941.6320271794409,33,21,359
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,942.0821883382739,33,21,360
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,942.5323494971074,33,21,361
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,942.9825106559404,33,21,362
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,943.4326718147734,33,21,363
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,943.8828329736068,33,21,364
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,944.3329941324398,33,21,365
